iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
CRI,North America,Costa Rica,2020-03-06,1.0,1.0,,,,,0.196,0.196,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,,,,,people tested,,,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-07,1.0,0.0,,,,,0.196,0.0,,,,,,,,,,,,,,5.0,7.0,0.001,0.001,,,,,people tested,,,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-08,5.0,4.0,,,,,0.982,0.785,,,,,,,,,,,,,,3.0,10.0,0.002,0.001,,,,,people tested,,,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-09,9.0,4.0,,,,,1.767,0.785,,,,,,,,,,,,,,2.0,12.0,0.002,0.0,,,,,people tested,,,,,,,,,,11.11,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-10,9.0,0.0,,,,,1.767,0.0,,,,,,,,,,,,,,1.0,13.0,0.003,0.0,,,,,people tested,,,,,,,,,,29.63,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-11,13.0,4.0,1.857,,,0.0,2.552,0.785,0.365,,,0.0,,,,,,,,,,9.0,22.0,0.004,0.002,,,,,people tested,,,,,,,,,,29.63,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-12,22.0,9.0,3.143,,,0.0,4.319,1.767,0.617,,,0.0,,,,,,,,,,89.0,111.0,0.022,0.017,,,0.207,4.8,people tested,,,,,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-13,23.0,1.0,3.143,,,0.0,4.515,0.196,0.617,,,0.0,,,,,,,,,,86.0,197.0,0.039,0.017,28.0,0.005,0.123,8.1,people tested,,,,,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-14,26.0,3.0,3.571,,,0.0,5.104,0.589,0.701,,,0.0,,,,,,,,,,127.0,324.0,0.064,0.025,45.0,0.009,0.063,15.9,people tested,,,,,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-15,27.0,1.0,3.143,,,0.0,5.3,0.196,0.617,,,0.0,,,,,,,,,,43.0,367.0,0.072,0.008,51.0,0.01,0.07,14.3,people tested,,,,,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-16,35.0,8.0,3.714,,,0.0,6.871,1.57,0.729,,,0.0,,,,,,,,,,171.0,538.0,0.106,0.034,75.0,0.015,0.055,18.2,people tested,,,,,,,,,,37.04,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-17,41.0,6.0,4.571,,,0.0,8.049,1.178,0.897,,,0.0,,,,,,,,,,114.0,652.0,0.128,0.022,91.0,0.018,0.058,17.2,people tested,,,,,,,,,,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-18,50.0,9.0,5.286,,,0.0,9.815,1.767,1.038,,,0.0,,,,,,,,,,154.0,806.0,0.158,0.03,112.0,0.022,0.06,16.7,people tested,,,,,,,,,,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-19,69.0,19.0,6.714,1.0,1.0,0.143,13.545,3.73,1.318,0.196,0.196,0.028,,,,,,,,,,114.0,920.0,0.181,0.022,116.0,0.023,0.079,12.7,people tested,,,,,,,,,,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-20,89.0,20.0,9.429,1.0,0.0,0.143,17.471,3.926,1.851,0.196,0.0,0.028,,,,,,,,,,121.0,1041.0,0.204,0.024,121.0,0.024,0.103,9.7,people tested,,,,,,,,,,62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-21,117.0,28.0,13.0,2.0,1.0,0.286,22.968,5.497,2.552,0.393,0.196,0.056,,,,,,,,,,148.0,1189.0,0.233,0.029,124.0,0.024,0.104,9.6,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-22,134.0,17.0,15.286,2.0,0.0,0.286,26.305,3.337,3.001,0.393,0.0,0.056,1.15,,,,,,,,,227.0,1416.0,0.278,0.045,150.0,0.029,0.094,10.6,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-23,158.0,24.0,17.571,2.0,0.0,0.286,31.016,4.711,3.449,0.393,0.0,0.056,1.14,,,,,,,,,157.0,1573.0,0.309,0.031,148.0,0.029,0.113,8.8,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-24,177.0,19.0,19.429,2.0,0.0,0.286,34.746,3.73,3.814,0.393,0.0,0.056,1.14,,,,,,,,,165.0,1738.0,0.341,0.032,155.0,0.03,0.117,8.5,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-25,201.0,24.0,21.571,2.0,0.0,0.286,39.457,4.711,4.235,0.393,0.0,0.056,1.13,,,,,,,,,29.0,1767.0,0.347,0.006,137.0,0.027,0.137,7.3,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-26,231.0,30.0,23.143,2.0,0.0,0.143,45.346,5.889,4.543,0.393,0.0,0.028,1.12,,,,,,,,,677.0,2444.0,0.48,0.133,218.0,0.043,0.094,10.6,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-27,263.0,32.0,24.857,2.0,0.0,0.143,51.628,6.282,4.88,0.393,0.0,0.028,1.1,,,,,,,,,487.0,2931.0,0.575,0.096,270.0,0.053,0.079,12.7,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-28,295.0,32.0,25.429,2.0,0.0,0.0,57.91,6.282,4.992,0.393,0.0,0.0,1.09,,,,,,,,,158.0,3089.0,0.606,0.031,271.0,0.053,0.094,10.6,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-29,314.0,19.0,25.714,2.0,0.0,0.0,61.64,3.73,5.048,0.393,0.0,0.0,1.07,,,,,,,,,222.0,3311.0,0.65,0.044,271.0,0.053,0.095,10.5,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-30,330.0,16.0,24.571,2.0,0.0,0.0,64.781,3.141,4.823,0.393,0.0,0.0,1.05,,,,,,,,,263.0,3574.0,0.702,0.052,286.0,0.056,0.086,11.6,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-03-31,347.0,17.0,24.286,2.0,0.0,0.0,68.118,3.337,4.767,0.393,0.0,0.0,1.03,,,,,,,,,153.0,3727.0,0.732,0.03,284.0,0.056,0.085,11.8,people tested,,,,,,,,,,71.3,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,6.9
CRI,North America,Costa Rica,2020-04-01,375.0,28.0,24.857,2.0,0.0,0.0,73.614,5.497,4.88,0.393,0.0,0.0,1.01,,,,,,,,,373.0,4100.0,0.805,0.073,333.0,0.065,0.075,13.3,people tested,,,,,,,,,,75.0,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-02,396.0,21.0,23.571,2.0,0.0,0.0,77.737,4.122,4.627,0.393,0.0,0.0,1.0,,,,,,,,,132.0,4232.0,0.831,0.026,255.0,0.05,0.092,10.9,people tested,,,,,,,,,,75.0,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-03,416.0,20.0,21.857,2.0,0.0,0.0,81.663,3.926,4.291,0.393,0.0,0.0,0.98,,,,,,,,,110.0,4342.0,0.852,0.022,202.0,0.04,0.108,9.3,people tested,,,,,,,,,,75.0,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-04,435.0,19.0,20.0,2.0,0.0,0.0,85.393,3.73,3.926,0.393,0.0,0.0,0.97,,,,,,,,,194.0,4536.0,0.89,0.038,207.0,0.041,0.097,10.3,people tested,,,,,,,,,,75.0,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-05,454.0,19.0,20.0,2.0,0.0,0.0,89.122,3.73,3.926,0.393,0.0,0.0,0.96,,,,,,,,,444.0,4980.0,0.978,0.087,238.0,0.047,0.084,11.9,people tested,,,,,,,,,,75.0,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-06,467.0,13.0,19.571,2.0,0.0,0.0,91.674,2.552,3.842,0.393,0.0,0.0,0.95,,,,,,,,,265.0,5245.0,1.03,0.052,239.0,0.047,0.082,12.2,people tested,,,,,,,,,,75.0,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-07,483.0,16.0,19.429,2.0,0.0,0.0,94.815,3.141,3.814,0.393,0.0,0.0,0.93,,,,,,,,,162.0,5407.0,1.061,0.032,240.0,0.047,0.081,12.3,people tested,,,,,,,,,,75.0,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-08,502.0,19.0,18.143,3.0,1.0,0.143,98.545,3.73,3.562,0.589,0.196,0.028,0.92,,,,,,,,,510.0,5917.0,1.162,0.1,260.0,0.051,0.07,14.3,people tested,,,,,,,,,,77.78,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-09,539.0,37.0,20.429,3.0,0.0,0.143,105.808,7.263,4.01,0.589,0.0,0.028,0.91,,,,,,,,,263.0,6180.0,1.213,0.052,278.0,0.055,0.073,13.7,people tested,,,,,,,,,,77.78,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-10,558.0,19.0,20.286,3.0,0.0,0.143,109.538,3.73,3.982,0.589,0.0,0.028,0.9,,,,,,,,,154.0,6334.0,1.243,0.03,285.0,0.056,0.071,14.1,people tested,,,,,,,,,,77.78,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-11,577.0,19.0,20.286,3.0,0.0,0.143,113.268,3.73,3.982,0.589,0.0,0.028,0.88,,,,,,,,,156.0,6490.0,1.274,0.031,279.0,0.055,0.073,13.7,people tested,,,,,,,,,,77.78,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-12,595.0,18.0,20.143,3.0,0.0,0.143,116.801,3.533,3.954,0.589,0.0,0.028,0.86,,,,,,,,,154.0,6644.0,1.304,0.03,238.0,0.047,0.085,11.8,people tested,,,,,,,,,,77.78,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-13,612.0,17.0,20.714,3.0,0.0,0.143,120.139,3.337,4.066,0.589,0.0,0.028,0.84,,,,,,,,,106.0,6750.0,1.325,0.021,215.0,0.042,0.096,10.4,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-14,618.0,6.0,19.286,3.0,0.0,0.143,121.316,1.178,3.786,0.589,0.0,0.028,0.82,,,,,,,,,76.0,6826.0,1.34,0.015,203.0,0.04,0.095,10.5,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-15,626.0,8.0,17.714,4.0,1.0,0.143,122.887,1.57,3.477,0.785,0.196,0.028,0.8,,,,,,,,,193.0,7019.0,1.378,0.038,157.0,0.031,0.113,8.8,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-16,642.0,16.0,14.714,4.0,0.0,0.143,126.028,3.141,2.888,0.785,0.0,0.028,0.79,,,,,,,,,214.0,7233.0,1.42,0.042,150.0,0.029,0.098,10.2,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-17,649.0,7.0,13.0,4.0,0.0,0.143,127.402,1.374,2.552,0.785,0.0,0.028,0.78,,,,,,,,,172.0,7405.0,1.454,0.034,153.0,0.03,0.085,11.8,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-18,655.0,6.0,11.143,4.0,0.0,0.143,128.58,1.178,2.187,0.785,0.0,0.028,0.77,,,,,,,,,227.0,7632.0,1.498,0.045,163.0,0.032,0.068,14.7,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-19,660.0,5.0,9.286,5.0,1.0,0.286,129.561,0.982,1.823,0.982,0.196,0.056,0.77,,,,,,,,,52.0,7684.0,1.508,0.01,149.0,0.029,0.062,16.1,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-20,662.0,2.0,7.143,6.0,1.0,0.429,129.954,0.393,1.402,1.178,0.196,0.084,0.76,,,,,,,,,96.0,7780.0,1.527,0.019,147.0,0.029,0.049,20.4,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-21,669.0,7.0,7.286,6.0,0.0,0.429,131.328,1.374,1.43,1.178,0.0,0.084,0.77,,,,,,,,,266.0,8046.0,1.579,0.052,174.0,0.034,0.042,23.8,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-22,681.0,12.0,7.857,6.0,0.0,0.286,133.684,2.356,1.542,1.178,0.0,0.056,0.77,,,,,,,,,301.0,8347.0,1.639,0.059,190.0,0.037,0.041,24.4,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-23,686.0,5.0,6.286,6.0,0.0,0.286,134.665,0.982,1.234,1.178,0.0,0.056,0.78,,,,,,,,,253.0,8600.0,1.688,0.05,195.0,0.038,0.032,31.2,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-24,687.0,1.0,5.429,6.0,0.0,0.286,134.862,0.196,1.066,1.178,0.0,0.056,0.79,,,,,,,,,102.0,8702.0,1.708,0.02,185.0,0.036,0.029,34.5,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-25,693.0,6.0,5.429,6.0,0.0,0.286,136.039,1.178,1.066,1.178,0.0,0.056,0.8,,,,,,,,,87.0,8789.0,1.725,0.017,165.0,0.032,0.033,30.3,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-26,695.0,2.0,5.0,6.0,0.0,0.143,136.432,0.393,0.982,1.178,0.0,0.028,0.82,,,,,,,,,37.0,8826.0,1.733,0.007,163.0,0.032,0.031,32.3,people tested,,,,,,,,,,75.93,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-27,697.0,2.0,5.0,6.0,0.0,0.0,136.825,0.393,0.982,1.178,0.0,0.0,0.84,,,,,,,,,58.0,8884.0,1.744,0.011,158.0,0.031,0.032,31.2,people tested,,,,,,,,,,81.48,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-28,705.0,8.0,5.143,6.0,0.0,0.0,138.395,1.57,1.01,1.178,0.0,0.0,0.87,,,,,,,,,59.0,8943.0,1.756,0.012,128.0,0.025,0.04,25.0,people tested,,,,,,,,,,81.48,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-29,713.0,8.0,4.571,6.0,0.0,0.0,139.965,1.57,0.897,1.178,0.0,0.0,0.89,,,,,,,,,237.0,9180.0,1.802,0.047,119.0,0.023,0.038,26.3,people tested,,,,,,,,,,81.48,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-04-30,719.0,6.0,4.714,6.0,0.0,0.0,141.143,1.178,0.925,1.178,0.0,0.0,0.91,,,,,,,,,109.0,9289.0,1.823,0.021,98.0,0.019,0.048,20.8,people tested,,,,,,,,,,81.48,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,2.56
CRI,North America,Costa Rica,2020-05-01,725.0,6.0,5.429,6.0,0.0,0.0,142.321,1.178,1.066,1.178,0.0,0.0,0.93,,,,,,,,,167.0,9456.0,1.856,0.033,108.0,0.021,0.05,20.0,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-02,733.0,8.0,5.714,6.0,0.0,0.0,143.892,1.57,1.122,1.178,0.0,0.0,0.96,,,,,,,,,91.0,9547.0,1.874,0.018,108.0,0.021,0.053,18.9,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-03,739.0,6.0,6.286,6.0,0.0,0.0,145.069,1.178,1.234,1.178,0.0,0.0,0.98,,,,,,,,,120.0,9667.0,1.898,0.024,120.0,0.024,0.052,19.2,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-04,742.0,3.0,6.429,6.0,0.0,0.0,145.658,0.589,1.262,1.178,0.0,0.0,1.0,,,,,,,,,106.0,9773.0,1.918,0.021,127.0,0.025,0.051,19.6,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-05,755.0,13.0,7.143,6.0,0.0,0.0,148.21,2.552,1.402,1.178,0.0,0.0,1.02,,,,,,,,,73.0,9846.0,1.933,0.014,129.0,0.025,0.055,18.2,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-06,761.0,6.0,6.857,6.0,0.0,0.0,149.388,1.178,1.346,1.178,0.0,0.0,1.03,,,,,,,,,209.0,10055.0,1.974,0.041,125.0,0.025,0.055,18.2,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-07,765.0,4.0,6.571,6.0,0.0,0.0,150.173,0.785,1.29,1.178,0.0,0.0,1.05,,,,,,,,,274.0,10329.0,2.028,0.054,149.0,0.029,0.044,22.7,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-08,773.0,8.0,6.857,6.0,0.0,0.0,151.744,1.57,1.346,1.178,0.0,0.0,1.07,,,,,,,,,452.0,10781.0,2.116,0.089,189.0,0.037,0.036,27.8,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-09,780.0,7.0,6.714,6.0,0.0,0.0,153.118,1.374,1.318,1.178,0.0,0.0,1.1,,,,,,,,,449.0,11230.0,2.205,0.088,240.0,0.047,0.028,35.7,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-10,792.0,12.0,7.571,7.0,1.0,0.143,155.474,2.356,1.486,1.374,0.196,0.028,1.12,,,,,,,,,592.0,11822.0,2.321,0.116,308.0,0.06,0.025,40.0,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-11,801.0,9.0,8.429,7.0,0.0,0.143,157.24,1.767,1.655,1.374,0.0,0.028,1.13,,,,,,,,,120.0,11942.0,2.344,0.024,310.0,0.061,0.027,37.0,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-12,804.0,3.0,7.0,7.0,0.0,0.143,157.829,0.589,1.374,1.374,0.0,0.028,1.14,,,,,,,,,73.0,12015.0,2.359,0.014,310.0,0.061,0.023,43.5,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-13,815.0,11.0,7.714,8.0,1.0,0.286,159.989,2.159,1.514,1.57,0.196,0.056,1.16,,,,,,,,,446.0,12461.0,2.446,0.088,344.0,0.068,0.022,45.5,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CRI,North America,Costa Rica,2020-05-14,830.0,15.0,9.286,8.0,0.0,0.286,162.933,2.945,1.823,1.57,0.0,0.056,1.18,,,,,,,,,315.0,12776.0,2.508,0.062,350.0,0.069,0.027,37.0,people tested,,,,,,,,,,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
